iter	Logloss
0	0.6434401691
1	0.6072051102
2	0.5782232934
3	0.5534722248
4	0.5329686013
5	0.5175349372
6	0.5036783933
7	0.49148564
8	0.4811551521
9	0.4721969966
10	0.4664679519
11	0.4609480019
12	0.4548427753
13	0.4480875494
14	0.4427391115
15	0.4377039029
16	0.4339365971
17	0.4303414818
18	0.4268976417
19	0.4241998229
20	0.420456884
21	0.4172688369
22	0.4140863949
23	0.4117935498
24	0.4092033464
25	0.4065522553
26	0.4048621508
27	0.4033273925
28	0.4013347377
29	0.4000022892
30	0.3985797482
31	0.397375211
32	0.395245854
33	0.3937387075
34	0.3925580356
35	0.3911703634
36	0.3895432411
37	0.3881783133
38	0.3865318686
39	0.3855194343
40	0.3838631661
41	0.3821807316
42	0.3809128582
43	0.3797372013
44	0.3788564543
45	0.3775996434
46	0.3762261311
47	0.3748252725
48	0.373750564
49	0.3727212853
50	0.3718730176
51	0.3707552689
52	0.370029868
53	0.3685325449
54	0.3668960416
55	0.3658125717
56	0.3647696641
57	0.3642345076
58	0.3634201942
59	0.3622659247
60	0.3616723586
61	0.360616412
62	0.3592925775
63	0.3584698271
64	0.3578562601
65	0.3571127167
66	0.3556857803
67	0.3546101868
68	0.3537943984
69	0.3532836973
70	0.3523513551
71	0.3518420994
72	0.3508417601
73	0.3505266723
74	0.3494573034
75	0.3489211144
76	0.3481609627
77	0.3471527468
78	0.3461734409
79	0.3458673801
80	0.3450581111
81	0.3445008298
82	0.3436578425
83	0.3428485441
84	0.3418335728
85	0.3407592478
86	0.3401794286
87	0.3388027599
88	0.3380803679
89	0.3374067097
90	0.3367147026
91	0.3358614199
92	0.3348866569
93	0.3339962634
94	0.3333516036
95	0.332569032
96	0.3319622204
97	0.3311007662
98	0.3307588042
99	0.3299730466
100	0.3289672203
101	0.3281388354
102	0.3270013218
103	0.3263671344
104	0.3254813134
105	0.3246742864
106	0.3236811745
107	0.3228968329
108	0.3218289095
109	0.3209181906
110	0.3199893588
111	0.3191294092
112	0.3183800839
113	0.3174567686
114	0.3162494584
115	0.3155469788
116	0.3145561384
117	0.3135762719
118	0.3129814373
119	0.3122673938
120	0.311707251
121	0.3109302253
122	0.3099502704
123	0.3090757773
124	0.3084650717
125	0.307786605
126	0.3068846476
127	0.3063109939
128	0.3055110174
129	0.3044828892
130	0.3038584072
131	0.303348768
132	0.3022190129
133	0.3012350164
134	0.3006591797
135	0.3001201587
136	0.299367205
137	0.2987559979
138	0.2983201969
139	0.2970577515
140	0.2962778644
141	0.295457533
142	0.2949064171
143	0.2941390084
144	0.2931950727
145	0.2926836046
146	0.2915751778
147	0.2908344075
148	0.290121131
149	0.2897061274
150	0.289055892
151	0.2885842192
152	0.2878993216
153	0.2868911352
154	0.2861506304
155	0.2856322593
156	0.2851680794
157	0.2848200109
158	0.2843728524
159	0.2834943179
160	0.2829344995
161	0.2818628885
162	0.2811915313
163	0.2804209957
164	0.2800757886
165	0.2793324518
166	0.278595487
167	0.2781759698
168	0.2777267758
169	0.2771489626
170	0.2765061907
171	0.2759363129
172	0.2752021801
173	0.2745616797
174	0.274059445
175	0.2733498855
176	0.2731126183
177	0.2725857513
178	0.2719284065
179	0.2715847924
180	0.2708235197
181	0.2705524752
182	0.2700409776
183	0.269611578
184	0.2689304564
185	0.2686984107
186	0.2680448124
187	0.2674887995
188	0.2671027942
189	0.2664660403
190	0.2658972245
191	0.2656932921
192	0.2653938098
193	0.2648755862
194	0.2644990503
195	0.2637508461
196	0.2634800671
197	0.2632489654
198	0.2628630486
199	0.262430345
200	0.2621023953
201	0.2617418779
202	0.2611031475
203	0.2605645395
204	0.2602645262
205	0.2599173131
206	0.2594348729
207	0.2589629345
208	0.258614807
209	0.2582772404
210	0.2577699022
211	0.2575431665
212	0.2569477419
213	0.256307684
214	0.2554874411
215	0.2550193967
216	0.2545579603
217	0.2541626626
218	0.2538286064
219	0.2532694076
220	0.2528268511
221	0.2523922595
222	0.251959615
223	0.2515382983
224	0.2507977935
225	0.2502128708
226	0.2497417585
227	0.2492745106
228	0.2486542471
229	0.2482785962
230	0.2477431447
231	0.2468132657
232	0.2463384806
233	0.2458228235
234	0.2452310421
235	0.2449955597
236	0.2443084938
237	0.2438912924
238	0.2434464054
239	0.2431015819
240	0.242722922
241	0.2419959723
242	0.2413097619
243	0.2409420908
244	0.2404456823
245	0.2402381362
246	0.2396768871
247	0.239305971
248	0.238810536
249	0.2384693852
250	0.2382539627
251	0.2378522487
252	0.2375900394
253	0.2371805374
254	0.2366881852
255	0.2361800506
256	0.2357416388
257	0.2352808956
258	0.2350145859
259	0.2348245185
260	0.234336193
261	0.2337533795
262	0.2333069143
263	0.2327445147
264	0.2322192259
265	0.2319806902
266	0.2317620817
267	0.2314694581
268	0.2312157448
269	0.2310701041
270	0.2307241743
271	0.2302253469
272	0.2300204115
273	0.2297807844
274	0.2293381099
275	0.2290282141
276	0.2288466426
277	0.2284042484
278	0.2279240796
279	0.2276607493
280	0.227093202
281	0.2269525173
282	0.2262379723
283	0.226119383
284	0.2254935735
285	0.2250750446
286	0.2245943301
287	0.22429383
288	0.2238535893
289	0.2235137364
290	0.2232565716
291	0.2230437008
292	0.222654598
293	0.2222625452
294	0.2220577869
295	0.2217116358
296	0.2214446623
297	0.2211241909
298	0.220702594
299	0.2202492701
